include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
n,aic,physicalassetmessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,y,end
d,arts,transferresponsemessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,n,end
y,aspen,ingestresponsemessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,n,end
y,aspen,fulfillmentresponsemessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,n,end
y,aspen,digitalassetupdateresponsemessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,y,end
y,aspen,digitalassetupdatenotificationmessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,p.ReplyTo == "studiohub",y,n,end
y,aspen,digitalassetmessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,y,end
n,aspen,digitalassetmessage,n/a,EM,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
n,aspen,digitalassetupdatenotificationmessage,n/a,EM,,umg_lpi_subscriber_demo,n/a,raw,p.ReplyTo == "rws",y,n,end
n,bitmax.bam,resourceavailabilitynotification,n/a,SOAP,,umg_d2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
n,bitmax.bam,resourceavailabilitynotification,n/a,SOAP,,umg_r2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
n,bitmax.bam,resourceavailabilitynotification,n/a,SOAP,,umg_zeus_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
n,bitmax.bam,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber,n/a,raw,,n,y,end
n,bitmax.bam,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber_qa,n/a,raw,,n,y,end
n,bitmax.bam2,resourceavailabilitynotification,n/a,SOAP,,umg_r2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
n,bitmax.bam2,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber,n/a,raw,,n,y,end
n,bitmax.bam2,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber_qa,n/a,raw,,n,y,end
y,dartaggregator,dartcprsreleaseschedule,n/a,EM,,umg_dart_subscriber,n/a,raw,,y,y,end
n,datalake,filemanifestmessage,n/a,EM,,umg_datalake_subscriber,n/a,raw,,y,y,end
n,datalake,filemanifestgroupmessage,n/a,EM,,umg_datalake_subscriber,n/a,raw,,y,y,end
n,digiplug.anthologic,resourceavailabilitynotification,n/a,SOAP,,umg_r2_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
n,digiplug.anthologic,resourceavailabilitynotification,n/a,SOAP,,umg_aspen_subscriber,resourceavailablenotificationmapper,raw,,n,y,end
n,digiplug.anthologic,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,releasestatusnotification,n/a,SOAP,,umg_gps_firstorder_subscriber,gps_releasestatusnotificationmapper,raw,,n,y,end
n,digiplug.anthologic,releasestatusnotification,n/a,SOAP,,umg_digs_relstatus_subscriber,gps_releasestatusnotificationmapper,raw,,n,y,end
n,digiplug.anthologic,releasestatusnotification,n/a,SOAP,,umg_r2_subscriber,gps_releasestatusnotificationmapper,raw,p.RSN_Status == "ordered",n,y,end
n,digiplug.anthologic,releaseorderednotification,n/a,SOAP,,umg_r2_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,releaseorderednotification,n/a,SOAP,,umg_gps_firstorder_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,marketingandlegalrestrictionsnotification,n/a,SOAP,,bitmax_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,internationalmarketingandlegalrestrictionsnotification,n/a,SOAP,,umg_gps_imlr_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,internationalmarketingandlegalrestrictionsnotification,,SOAP,,umg_digsreporting_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,releaseorderednotification,n/a,SOAP,,umg_digs_relstatus_subscriber,releasestatusmapper_releaseordered2releasestatus,raw,,n,y,end
n,digiplug.anthologic,marketingandlegalrestrictionsnotification,n/a,SOAP,,umg_digs_mlr_subscriber,n/a,raw,,n,y,end
n,digiplug.anthologic,resourceavailabilitynotification,n/a,SOAP,,umg_digs_rav_subscriber_qa,n/a,raw,,n,y,end
n,digiplug.anthologic,releasestatusnotification,n/a,SOAP,,umg_digs_relstatus_subscriber_qa,gps_releasestatusnotificationmapper,raw,,n,y,end
n,digiplug.anthologic,releaseorderednotification,n/a,SOAP,,umg_digs_relstatus_subscriber_qa,releasestatusmapper_releaseordered2releasestatus,raw,,n,y,end
n,digiplug.anthologic,marketingandlegalrestrictionsnotification,n/a,SOAP,,umg_digs_mlr_subscriber_qa,n/a,raw,,n,y,end
n,gps,globalresourcepricemessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,y,end
n,gps,globalreleasepricemessage,n/a,EM,,umg_lpi_subscriber,n/a,raw,,y,y,end
y,gps,globalreleasepricemessage,n/a,EM,,umg_disco_pricing_subscriber,n/a,raw,,y,y,end
y,gps,globalresourcepricemessage,n/a,EM,,umg_disco_pricing_subscriber,n/a,raw,,y,y,end
n,gps,globalresourcepricemessage,n/a,EM,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
